"Company","WAPE (price)","WAPE (return)"
"AAPL",102.072921280322,1480.61397542486
"AMZN",102.082172178194,1344.47637581055
"Coca Cola",128.908478139931,2453.91358351161
"DIS",104.956048411187,1003.04309490226
"EBAY",139.004613438025,2372.78093698717
"FORD",156.570941981879,929.818105453095
"GE",110.386799944322,1177.98415527128
"GM",133.479527619225,945.103926989596
"GOOG",107.764732053066,1439.61149811246
"INTC",126.455910912772,1155.52982984494
"MSFT",100.225194156172,1370.84623952287
"NFLX",100.982445707913,1375.65160178472
"NKE",102.90453879469,1010.83679983778
"UBER",164.678075450817,971.824109256615
"WMT",102.914665449808,1635.41280671224
