Company,WAPE (price)
China Shenhua,2.891355939209461
Agricultural Bank of China,4.832610860466957
Wanhua Chemical Group,2.8875431045889854
Anhui Coonch Cement,1.829676702618599
CITIC Securities,1.4518539421260357
Kweichow Moutai,2.7544038370251656
China Duty Free Group,3.38163822889328
Ping An,82.18486309051514
China Pacific Insurance,1.4706388115882874
PetroChina,2.497771754860878
SAIC Motor,1.899942196905613
China Merchants Bank,2.1610205993056297
Sinopec,2.5486962869763374
Hengrui Medicine,2.5800123810768127
China Life Insurance Company Limited,2.1849919110536575
