x,each,cumsum
1,0.9392147859448498,0.9392147859448498
2,0.004621673427771443,0.9438364593726212
3,0.0036172630489947825,0.947453722421616
4,0.0035486318497916385,0.9510023542714076
5,0.003457788701986266,0.9544601429733939
6,0.0034553675928673763,0.9579155105662612
7,0.003279663870653648,0.9611951744369148
8,0.0032771084879416284,0.9644722829248564
9,0.0031312660823572046,0.9676035490072137
10,0.0031284565401053675,0.9707320055473191
11,0.00304811836440904,0.9737801239117281
12,0.0030349869452837657,0.9768151108570119
13,0.0030281807444188192,0.9798432916014307
14,0.0030199814389858535,0.9828632730404165
15,0.0029973668352751776,0.9858606398756917
16,0.002923119163484542,0.9887837590391763
17,0.0028880009466589547,0.9916717599858352
18,0.0028836473583348527,0.9945554073441701
19,0.002734604456856035,0.9972900118010262
20,0.002709988198973757,0.9999999999999999
